data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2024-05-06 18:48:50.888151;0;Florianópolis;Tiago Lima;Fone de Ouvido Sony;George Johnston;masculino;boleto
2024-05-07 15:13:49.915232;1;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;John Conlin;masculino;pix
2024-05-07 16:01:50.419196;2;Florianópolis;Gabriela Santos;Smartwatch Garmin;Margaret Dowler;feminino;cartão de crédito
2024-05-07 16:08:49.899838;3;Florianópolis;Gabriela Santos;Smartwatch Garmin;Albert Hernandez;masculino;dinheiro
2024-05-07 16:41:46.036442;4;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Amanda Butler;feminino;cartão de crédito
2024-05-07 20:58:51.453251;5;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Barbara Reynolds;feminino;pix
2024-05-08 16:30:53.609340;6;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Michael Siverling;masculino;boleto
2024-05-08 16:57:47.471748;7;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Shirley Wilkinson;feminino;dinheiro
2024-05-08 17:03:50.784695;8;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Beth Wilson;feminino;dinheiro
2024-05-08 18:45:45.788631;9;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;David Todd;masculino;dinheiro
2024-05-08 20:19:50.182782;10;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Mark Chalender;masculino;boleto
2024-05-08 23:50:47.677826;11;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Jessica Crotty;feminino;cartão de crédito
2024-05-09 19:35:50.399091;12;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Matthew Cannone;masculino;cartão de crédito
2024-05-09 22:59:52.402901;13;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Susan Mcconnell;feminino;cartão de crédito
2024-05-09 23:01:47.526835;14;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Whitney Williams;feminino;boleto
2024-05-09 23:46:47.488122;15;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Toby Bogan;masculino;dinheiro
2024-05-10 00:40:51.145999;16;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Sarah Smith;feminino;cartão de crédito
2024-05-10 01:41:52.279511;17;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Maurice Allred;masculino;cartão de crédito
2024-05-10 18:33:50.166242;18;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Jonathan Matier;masculino;pix
2024-05-11 00:46:52.980148;19;São Paulo;Lucas Pereira;Smartwatch Garmin;Thad Sumstad;masculino;boleto
2024-05-11 01:46:48.938251;20;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;William Gustafson;masculino;cartão de crédito
2024-05-11 15:29:48.287349;21;Florianópolis;Gabriela Santos;Smartwatch Garmin;Chester Miller;masculino;boleto
2024-05-11 16:07:49.345428;22;São Paulo;Ana Oliveira;Smartwatch Garmin;James Patten;masculino;boleto
2024-05-11 16:59:51.782394;23;São Paulo;Lucas Pereira;Tablet Apple Ipad;Ralph Townsend;masculino;boleto
2024-05-11 18:19:48.585505;24;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Andrew Wirtz;masculino;cartão de crédito
2024-05-11 20:00:53.051846;25;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Neville Garcia;masculino;dinheiro
2024-05-11 20:37:52.794757;26;São Paulo;Ana Oliveira;Tablet Apple Ipad;Dorothy Maddock;feminino;dinheiro
2024-05-11 21:06:47.750227;27;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Virginia Davis;feminino;pix
2024-05-12 20:17:50.951363;28;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Gladys Henry;feminino;boleto
2024-05-13 16:19:47.523672;29;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Toni Schulze;feminino;cartão de crédito
2024-05-13 16:34:52.805018;30;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Micheal Hartman;masculino;boleto
2024-05-13 17:48:53.009926;31;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Johnathan Hennig;masculino;dinheiro
2024-05-13 19:35:50.367512;32;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;James Crowell;masculino;pix
2024-05-13 20:01:46.438928;33;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Larry Faul;masculino;cartão de crédito
2024-05-13 22:47:52.501490;34;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Stanley Mcdonald;masculino;boleto
2024-05-13 23:39:48.667112;35;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Clyde Neff;masculino;boleto
